Iteration 64512, Policy Loss: 17.4431, Value Loss: 9874.4961, Entropy Bonus: 1.3237, Failures: 88, Successes: 0
Iteration 65536, Policy Loss: 10.2306, Value Loss: 3587.6021, Entropy Bonus: 1.3181, Failures: 43, Successes: 0
Iteration 66560, Policy Loss: 7.6353, Value Loss: 3351.6813, Entropy Bonus: 1.3123, Failures: 37, Successes: 0
Iteration 67584, Policy Loss: 8.4453, Value Loss: 3175.3583, Entropy Bonus: 1.3098, Failures: 36, Successes: 0
Iteration 68608, Policy Loss: 18.4509, Value Loss: 12510.1761, Entropy Bonus: 1.3231, Failures: 99, Successes: 0
Iteration 69632, Policy Loss: 14.5382, Value Loss: 8116.1033, Entropy Bonus: 1.3186, Failures: 73, Successes: 0
Iteration 70656, Policy Loss: 7.7579, Value Loss: 2729.0918, Entropy Bonus: 1.3026, Failures: 24, Successes: 0
Iteration 71680, Policy Loss: 10.4430, Value Loss: 4653.1600, Entropy Bonus: 1.3086, Failures: 34, Successes: 0
Evaluation at iteration 71680: Average Return: -157.1187
Iteration 72704, Policy Loss: 12.8148, Value Loss: 7220.2190, Entropy Bonus: 1.3147, Failures: 62, Successes: 0
Iteration 73728, Policy Loss: 17.3436, Value Loss: 11389.6411, Entropy Bonus: 1.3220, Failures: 95, Successes: 0
Iteration 74752, Policy Loss: 5.6547, Value Loss: 1606.7421, Entropy Bonus: 1.3057, Failures: 22, Successes: 0
Iteration 75776, Policy Loss: 13.8287, Value Loss: 6984.7280, Entropy Bonus: 1.3160, Failures: 67, Successes: 0
Iteration 76800, Policy Loss: 17.4829, Value Loss: 10914.0897, Entropy Bonus: 1.3217, Failures: 92, Successes: 0
Iteration 77824, Policy Loss: 19.0805, Value Loss: 12638.2590, Entropy Bonus: 1.3193, Failures: 101, Successes: 0
Iteration 78848, Policy Loss: 10.9290, Value Loss: 5515.2770, Entropy Bonus: 1.3086, Failures: 54, Successes: 0
Iteration 79872, Policy Loss: 5.3760, Value Loss: 996.2965, Entropy Bonus: 1.3035, Failures: 24, Successes: 1
Iteration 80896, Policy Loss: 16.4033, Value Loss: 9711.3457, Entropy Bonus: 1.3169, Failures: 83, Successes: 0
Iteration 81920, Policy Loss: 8.2542, Value Loss: 3935.9366, Entropy Bonus: 1.3109, Failures: 41, Successes: 0
Evaluation at iteration 81920: Average Return: -38.0188
Iteration 82944, Policy Loss: 16.9359, Value Loss: 9949.9880, Entropy Bonus: 1.3183, Failures: 77, Successes: 0
Iteration 83968, Policy Loss: 5.4748, Value Loss: 1220.0642, Entropy Bonus: 1.2987, Failures: 10, Successes: 0
Iteration 84992, Policy Loss: 14.4681, Value Loss: 7888.4439, Entropy Bonus: 1.3058, Failures: 59, Successes: 0
Iteration 86016, Policy Loss: 6.1221, Value Loss: 1663.3956, Entropy Bonus: 1.3045, Failures: 19, Successes: 0
Iteration 87040, Policy Loss: 10.0207, Value Loss: 3782.6734, Entropy Bonus: 1.3084, Failures: 48, Successes: 0
Iteration 88064, Policy Loss: 11.1122, Value Loss: 5703.6240, Entropy Bonus: 1.3067, Failures: 50, Successes: 0
Iteration 89088, Policy Loss: 4.0511, Value Loss: 531.3112, Entropy Bonus: 1.2994, Failures: 6, Successes: 0
Iteration 90112, Policy Loss: 9.3194, Value Loss: 3622.4205, Entropy Bonus: 1.3052, Failures: 41, Successes: 0
Iteration 91136, Policy Loss: 6.5636, Value Loss: 2070.8342, Entropy Bonus: 1.2981, Failures: 18, Successes: 0
Iteration 92160, Policy Loss: 6.0674, Value Loss: 1460.7871, Entropy Bonus: 1.3037, Failures: 28, Successes: 0
Evaluation at iteration 92160: Average Return: -46.1094
Iteration 93184, Policy Loss: 15.9579, Value Loss: 9655.7516, Entropy Bonus: 1.3185, Failures: 90, Successes: 0
Iteration 94208, Policy Loss: 4.6001, Value Loss: 849.6050, Entropy Bonus: 1.3032, Failures: 17, Successes: 0
Iteration 95232, Policy Loss: 12.5967, Value Loss: 6591.9148, Entropy Bonus: 1.3129, Failures: 59, Successes: 0
Iteration 96256, Policy Loss: 13.9636, Value Loss: 6740.3957, Entropy Bonus: 1.3166, Failures: 60, Successes: 0
Iteration 97280, Policy Loss: 7.4182, Value Loss: 3360.0705, Entropy Bonus: 1.3097, Failures: 34, Successes: 0
Iteration 98304, Policy Loss: 12.2823, Value Loss: 7285.3777, Entropy Bonus: 1.3159, Failures: 52, Successes: 0
Iteration 99328, Policy Loss: 7.2995, Value Loss: 1978.4587, Entropy Bonus: 1.3065, Failures: 30, Successes: 0
Iteration 100352, Policy Loss: 13.4993, Value Loss: 8052.1186, Entropy Bonus: 1.3124, Failures: 72, Successes: 0
Iteration 101376, Policy Loss: 11.0831, Value Loss: 6012.0176, Entropy Bonus: 1.3091, Failures: 50, Successes: 0
Iteration 102400, Policy Loss: 14.6018, Value Loss: 8730.2710, Entropy Bonus: 1.3106, Failures: 58, Successes: 0
Iteration 1024, Policy Loss: 12.3898, Value Loss: 5424.8823, Entropy Bonus: 1.3112, Failures: 48, Successes: 0
Iteration 2048, Policy Loss: 7.2245, Value Loss: 2414.5619, Entropy Bonus: 1.3018, Failures: 28, Successes: 0
Iteration 3072, Policy Loss: 16.2037, Value Loss: 8465.7961, Entropy Bonus: 1.3110, Failures: 73, Successes: 0
Iteration 4096, Policy Loss: 21.8661, Value Loss: 16632.6882, Entropy Bonus: 1.3236, Failures: 118, Successes: 0
Iteration 5120, Policy Loss: 7.9047, Value Loss: 2658.2272, Entropy Bonus: 1.3007, Failures: 25, Successes: 0
Iteration 6144, Policy Loss: 6.4509, Value Loss: 2264.3099, Entropy Bonus: 1.3024, Failures: 25, Successes: 0
Iteration 7168, Policy Loss: 10.5984, Value Loss: 5052.3685, Entropy Bonus: 1.3047, Failures: 39, Successes: 0
Iteration 8192, Policy Loss: 13.5617, Value Loss: 9068.7762, Entropy Bonus: 1.3096, Failures: 63, Successes: 0
Iteration 9216, Policy Loss: 2.8439, Value Loss: 379.2677, Entropy Bonus: 1.2994, Failures: 6, Successes: 0
Iteration 10240, Policy Loss: 12.2639, Value Loss: 6447.1760, Entropy Bonus: 1.3139, Failures: 55, Successes: 0
Evaluation at iteration 10240: Average Return: -53.4250
Iteration 11264, Policy Loss: 4.4405, Value Loss: 974.4696, Entropy Bonus: 1.2989, Failures: 16, Successes: 0
Iteration 12288, Policy Loss: 16.3292, Value Loss: 9317.8713, Entropy Bonus: 1.3154, Failures: 80, Successes: 0
Iteration 13312, Policy Loss: 13.6171, Value Loss: 8489.0057, Entropy Bonus: 1.3126, Failures: 67, Successes: 0
Iteration 14336, Policy Loss: 7.9548, Value Loss: 3116.5043, Entropy Bonus: 1.3007, Failures: 39, Successes: 0
Iteration 15360, Policy Loss: 12.9022, Value Loss: 5844.0466, Entropy Bonus: 1.3126, Failures: 60, Successes: 0
Iteration 16384, Policy Loss: 16.9045, Value Loss: 10176.5288, Entropy Bonus: 1.3110, Failures: 87, Successes: 0
Iteration 17408, Policy Loss: 10.9936, Value Loss: 5421.4471, Entropy Bonus: 1.3037, Failures: 56, Successes: 0
Iteration 18432, Policy Loss: 16.1917, Value Loss: 9037.3875, Entropy Bonus: 1.3104, Failures: 80, Successes: 0
Iteration 19456, Policy Loss: 6.3550, Value Loss: 2056.3298, Entropy Bonus: 1.2914, Failures: 25, Successes: 0
Iteration 20480, Policy Loss: 8.2398, Value Loss: 3205.6263, Entropy Bonus: 1.2932, Failures: 22, Successes: 0
Evaluation at iteration 20480: Average Return: -100.8344
Iteration 21504, Policy Loss: 10.6130, Value Loss: 4457.7266, Entropy Bonus: 1.2988, Failures: 44, Successes: 0
Iteration 22528, Policy Loss: 2.7482, Value Loss: 311.1893, Entropy Bonus: 1.2849, Failures: 2, Successes: 0
Iteration 23552, Policy Loss: 12.9138, Value Loss: 7202.1801, Entropy Bonus: 1.3014, Failures: 62, Successes: 0
Iteration 24576, Policy Loss: 15.9473, Value Loss: 8178.9695, Entropy Bonus: 1.3116, Failures: 86, Successes: 0
Iteration 25600, Policy Loss: 7.6731, Value Loss: 3143.3365, Entropy Bonus: 1.2933, Failures: 30, Successes: 0
Iteration 26624, Policy Loss: 17.4692, Value Loss: 12061.1860, Entropy Bonus: 1.3063, Failures: 59, Successes: 0
Iteration 27648, Policy Loss: 10.4207, Value Loss: 4229.4638, Entropy Bonus: 1.2949, Failures: 50, Successes: 0
Iteration 28672, Policy Loss: 25.5546, Value Loss: 23086.5049, Entropy Bonus: 1.3181, Failures: 143, Successes: 0
Iteration 29696, Policy Loss: 5.0979, Value Loss: 747.6993, Entropy Bonus: 1.2919, Failures: 12, Successes: 0
Iteration 30720, Policy Loss: 22.3467, Value Loss: 18034.9236, Entropy Bonus: 1.3149, Failures: 125, Successes: 0
Evaluation at iteration 30720: Average Return: -30.0594
Iteration 31744, Policy Loss: 17.5868, Value Loss: 10018.5757, Entropy Bonus: 1.3115, Failures: 95, Successes: 0
Iteration 32768, Policy Loss: 8.7711, Value Loss: 4627.5816, Entropy Bonus: 1.2991, Failures: 33, Successes: 0
Iteration 33792, Policy Loss: 16.6837, Value Loss: 9183.9768, Entropy Bonus: 1.3125, Failures: 90, Successes: 0
Iteration 34816, Policy Loss: 5.8032, Value Loss: 1281.1916, Entropy Bonus: 1.2945, Failures: 12, Successes: 0
Iteration 35840, Policy Loss: 22.4563, Value Loss: 17037.5869, Entropy Bonus: 1.3189, Failures: 113, Successes: 0
Iteration 36864, Policy Loss: 12.1652, Value Loss: 9350.2292, Entropy Bonus: 1.3053, Failures: 64, Successes: 0
Iteration 37888, Policy Loss: 12.9167, Value Loss: 9318.2044, Entropy Bonus: 1.3058, Failures: 70, Successes: 0
Iteration 38912, Policy Loss: 18.2515, Value Loss: 13350.8179, Entropy Bonus: 1.3067, Failures: 84, Successes: 0
Iteration 39936, Policy Loss: 10.2478, Value Loss: 4126.9927, Entropy Bonus: 1.2976, Failures: 42, Successes: 0
Iteration 40960, Policy Loss: 3.8580, Value Loss: 558.0081, Entropy Bonus: 1.2897, Failures: 13, Successes: 1
Evaluation at iteration 40960: Average Return: -56.9656
Iteration 41984, Policy Loss: 13.4672, Value Loss: 7980.4395, Entropy Bonus: 1.3033, Failures: 58, Successes: 0
Iteration 43008, Policy Loss: 13.9862, Value Loss: 7397.6750, Entropy Bonus: 1.3076, Failures: 67, Successes: 0
Iteration 44032, Policy Loss: 19.7794, Value Loss: 14806.2725, Entropy Bonus: 1.3107, Failures: 84, Successes: 0
Iteration 45056, Policy Loss: 9.2815, Value Loss: 3490.1487, Entropy Bonus: 1.2990, Failures: 42, Successes: 0
Iteration 46080, Policy Loss: 13.6989, Value Loss: 7160.9005, Entropy Bonus: 1.3049, Failures: 55, Successes: 0
Iteration 47104, Policy Loss: 5.2329, Value Loss: 1186.2133, Entropy Bonus: 1.2974, Failures: 17, Successes: 0
Iteration 48128, Policy Loss: 14.0917, Value Loss: 8715.8949, Entropy Bonus: 1.3032, Failures: 72, Successes: 0
Iteration 49152, Policy Loss: 4.1912, Value Loss: 907.9116, Entropy Bonus: 1.2880, Failures: 8, Successes: 0
Iteration 50176, Policy Loss: 14.2687, Value Loss: 8295.6133, Entropy Bonus: 1.2986, Failures: 60, Successes: 0
Iteration 51200, Policy Loss: 17.3559, Value Loss: 11265.3926, Entropy Bonus: 1.3078, Failures: 90, Successes: 0
Evaluation at iteration 51200: Average Return: -49.5000
